ID;Название;Статус;Стартовая;Текущая;Ставок;Категория;Картинки
36523;Брошка&#40;пчела&#41;посеребренная.;ENDED;350.00;350.00;1;Христианская металлопластика 14-19вв;[]
36530;5 копеек 1764  М.М;ENDED;1800.00;0.00;0;Имперские (Россия);[]
36532;2 копейки 1788 года ММ;ENDED;600.00;0.00;0;Имперские (Россия);[]
36533;3 копейки СССР 1924 года;ENDED;400.00;0.00;0;Россия и СССР;[]
36535; 1 рубль Карл Маркс;ENDED;400.00;0.00;0;Россия и СССР;[]
36536;1 рубль Менделеев;ENDED;400.00;0.00;0;Россия и СССР;[]
36537;1 рубль Фридрих Энгельс;ENDED;400.00;0.00;0;Россия и СССР;[]
36545;1 рубль Эминеску;ENDED;300.00;0.00;0;Россия и СССР;[]
36547;1 рубль Попов;ENDED;400.00;0.00;0;Россия и СССР;[]
36548;1 рубль Ленин в лучах;ENDED;500.00;0.00;0;Россия и СССР;[]
36549;1 рубль Ленин в галстуке;ENDED;400.00;0.00;0;Россия и СССР;[]
36551;1 рубль Ломоносов;ENDED;400.00;0.00;0;Россия и СССР;[]
36554;1 рубль Пушкин;ENDED;400.00;0.00;0;Россия и СССР;[]
36556;1 рубль Иван Федоров;ENDED;400.00;0.00;0;Россия и СССР;[]
36561;1 рубль Жуков;ENDED;450.00;0.00;0;Россия и СССР;[]
36562;5 рублей Регистан;ENDED;450.00;0.00;0;Россия и СССР;[]
36563;1 рубль 70 лет революции;ENDED;250.00;0.00;0;Россия и СССР;[]
36564;Олимпиада Факел;ENDED;300.00;0.00;0;Россия и СССР;[]
36567;Рим№3;ENDED;400.00;0.00;0;Античные монеты;[]
36568;Рим№4;ENDED;400.00;0.00;0;Античные монеты;[]
36569;Рим№5;ENDED;100.00;0.00;0;Античные монеты;[]
36579;рим;ENDED;500.00;0.00;0;Античные монеты;[]
36580;рим;ENDED;500.00;0.00;0;Античные монеты;[]
36584;Рубль 1947 года;ENDED;300.00;0.00;0;Боны (облигации, ценные бумаги);[]
36585;Рубль 1938 года;ENDED;400.00;0.00;0;Боны (облигации, ценные бумаги);[]
36587;100 рублей Чемпионат по Футболу;ENDED;250.00;0.00;0;Боны (облигации, ценные бумаги);[]
36590;500 рублей 1919;ENDED;300.00;300.00;1;Боны (облигации, ценные бумаги);[]
36591;1000 рублей 1919;ENDED;450.00;450.00;1;Боны (облигации, ценные бумаги);[]
36592;1000 рублей 1917 года;ENDED;150.00;150.00;1;Боны (облигации, ценные бумаги);[]
36593;100 рублей сочи;ENDED;300.00;0.00;0;Боны (облигации, ценные бумаги);[]
36594;100 рублей Крым;ENDED;200.00;0.00;0;Боны (облигации, ценные бумаги);[]
36595;Инает Герай Акче;ENDED;300.00;0.00;0;Восточные;[]
36596;Ислам 2 акче;ENDED;900.00;0.00;0;Восточные;[]
36613;2 копейки 1763 года;ENDED;300.00;0.00;0;Имперские (Россия);[]
36622;1 копейка 1925 год;ENDED;4000.00;0.00;0;Россия и СССР;[]
36623;Две редких монеты;ENDED;6800.00;0.00;0;Средневековые (Европа);[]
36627;2 пара 3 копейки 1772 г;ENDED;7000.00;0.00;0;Имперские (Россия);[]
